Kernel,gx,gy,gz,bx,by,bz,nx,ny,nz,gpuId,occupancy
1,196,2,1,8,2,8,224,224,224,0,0.495009
1,7,7,8,1,8,16,224,224,224,0,0.486643
1,1,1,49,1,16,64,224,224,224,0,0.880007
2,1,2,784,2,2,8,224,224,224,0,0.871457
1,7,1,56,1,8,16,224,224,224,0,0.871494
1,1,224,1,16,7,2,224,224,224,0,0.849691
2,16,1,14,2,8,14,224,224,224,0,0.811422
0,1,56,14,32,1,2,224,224,224,0,0.83533
2,4,1,98,1,128,1,224,224,224,0,0.871555
2,4,14,4,8,28,1,224,224,224,0,0.914902
2,56,2,2,1,16,14,224,224,224,0,0.8533
1,4,1,196,4,1,16,224,224,224,0,0.8719
1,1,56,14,1,2,32,224,224,224,0,0.81086
2,4,7,14,2,4,16,224,224,224,0,0.480111
1,112,2,1,1,224,1,224,224,224,0,0.87167
2,4,4,7,224,1,2,224,224,224,0,0.871985
0,7,14,2,4,8,8,224,224,224,0,0.854764
2,49,2,8,32,2,1,224,224,224,0,0.469474
0,1,56,7,8,4,4,224,224,224,0,0.485842
1,4,7,2,128,1,7,224,224,224,0,0.871999
1,1,112,7,2,32,1,224,224,224,0,0.871455
1,16,1,14,7,32,1,224,224,224,0,0.871545
2,1,56,4,8,1,28,224,224,224,0,0.871286
1,7,14,2,2,4,32,224,224,224,0,0.487005
1,98,1,16,1,32,1,224,224,224,0,0.870993
2,28,4,1,8,4,14,224,224,224,0,0.853048
1,4,14,7,2,4,16,224,224,224,0,0.870942
0,14,4,14,1,32,2,224,224,224,0,0.380723
1,7,4,28,16,4,1,224,224,224,0,0.871764
2,56,1,2,2,224,1,224,224,224,0,0.871941
1,2,7,7,64,1,8,224,224,224,0,0.871463
2,4,14,2,8,8,7,224,224,224,0,0.879306
1,7,56,1,2,64,1,224,224,224,0,0.852998
1,1,196,1,2,32,4,224,224,224,0,0.871746
1,1,1,196,2,32,4,224,224,224,0,0.871357
2,8,14,2,1,32,7,224,224,224,0,0.871004
0,98,4,1,2,8,8,224,224,224,0,0.852051
2,1,32,7,7,8,4,224,224,224,0,0.852544
3,1,28,2,8,112,1,224,224,224,0,0.470052
2,4,1,56,2,28,4,224,224,224,0,0.871192
1,32,1,7,7,8,4,224,224,224,0,0.853892
2,4,7,28,1,4,16,224,224,224,0,0.879639
1,196,8,1,1,8,4,224,224,224,0,0.871357
1,1,14,4,14,32,2,224,224,224,0,0.871247
1,16,7,2,56,4,1,224,224,224,0,0.871671
2,1,1,112,14,4,8,224,224,224,0,0.767883
1,16,1,49,8,2,4,224,224,224,0,0.871941
1,196,1,4,2,2,16,224,224,224,0,0.871406
2,7,1,32,7,4,8,224,224,224,0,0.871351
0,56,2,7,64,1,1,224,224,224,0,0.871176
3,4,7,14,4,32,1,224,224,224,0,0.839743
0,2,7,8,4,16,7,224,224,224,0,0.469957
2,1,2,196,8,1,16,224,224,224,0,0.870824
1,7,1,16,28,4,4,224,224,224,0,0.871751
1,8,7,4,7,1,32,224,224,224,0,0.871666
1,8,1,28,4,4,14,224,224,224,0,0.852956
2,1,14,112,4,4,2,224,224,224,0,0.871391
1,1,2,112,28,4,2,224,224,224,0,0.852466
1,1,1,98,16,8,4,224,224,224,0,0.485162
2,28,4,2,2,112,1,224,224,224,0,0.871893
3,1,7,7,2,8,64,224,224,224,0,0.871965
0,392,2,2,4,2,4,224,224,224,0,0.871494
3,49,2,1,2,256,1,224,224,224,0,0.485357
2,1,4,49,2,16,8,224,224,224,0,0.479236
1,8,7,7,8,2,8,224,224,224,0,0.871179
1,1,1,224,4,14,4,224,224,224,0,0.871445
2,2,7,8,2,14,16,224,224,224,0,0.485528
1,2,14,2,16,28,2,224,224,224,0,0.854576
2,2,1,56,224,2,1,224,224,224,0,0.871884
2,2,28,14,2,4,8,224,224,224,0,0.871281
0,14,2,8,14,16,1,224,224,224,0,0.87182
2,7,32,1,28,1,8,224,224,224,0,0.87179
1,7,14,16,4,8,1,224,224,224,0,0.386631
2,7,8,1,7,4,32,224,224,224,0,0.87163
1,7,28,4,1,64,1,224,224,224,0,0.872842
2,4,49,2,64,1,2,224,224,224,0,0.839675
1,56,2,7,1,32,2,224,224,224,0,0.871687
3,1,1,112,112,2,2,224,224,224,0,0.871258
1,2,1,56,224,2,1,224,224,224,0,0.871727
2,2,2,14,16,2,28,224,224,224,0,0.857332
2,4,1,98,2,32,2,224,224,224,0,0.871467
1,7,8,1,7,2,64,224,224,224,0,0.872229
