Kernel,gx,gy,gz,bx,by,bz,nx,ny,nz,gpuId,occupancy
0,2,2,40,128,1,5,320,320,320,0,0.914072
3,5,32,5,2,4,16,320,320,320,0,0.983806
2,50,8,1,32,8,1,320,320,320,0,0.936293
1,2,800,2,2,16,1,320,320,320,0,0.87839
1,40,2,40,1,32,1,320,320,320,0,0.390984
1,2,50,1,256,2,2,320,320,320,0,0.925424
1,8,16,25,2,1,16,320,320,320,0,0.896083
1,4,2,50,64,4,1,320,320,320,0,0.910916
1,40,8,2,40,2,2,320,320,320,0,0.76321
1,1,20,8,8,40,2,320,320,320,0,0.945482
1,5,40,8,8,2,4,320,320,320,0,0.902356
0,1,20,32,4,40,1,320,320,320,0,0.977332
1,20,5,8,1,128,1,320,320,320,0,0.912064
1,20,80,1,1,32,2,320,320,320,0,0.942608
1,1600,2,1,1,16,2,320,320,320,0,0.818351
1,80,1,8,80,2,1,320,320,320,0,0.763418
1,5,8,40,8,2,4,320,320,320,0,0.913522
1,16,5,8,8,2,10,320,320,320,0,0.91311
1,2,2,80,2,16,10,320,320,320,0,0.909877
1,20,40,2,1,64,1,320,320,320,0,0.951813
1,1,320,2,2,5,16,320,320,320,0,0.943532
1,2,8,10,5,2,64,320,320,320,0,0.488143
1,8,5,8,2,4,40,320,320,320,0,0.949805
1,8,25,8,1,16,4,320,320,320,0,0.952913
3,40,8,2,4,8,5,320,320,320,0,0.489785
1,10,1,16,32,4,5,320,320,320,0,0.972762
1,1,32,50,1,1,64,320,320,320,0,0.87806
1,8,4,10,160,2,1,320,320,320,0,0.387734
1,8,5,10,256,1,1,320,320,320,0,0.492698
2,1,8,25,4,64,2,320,320,320,0,0.936049
1,5,40,2,2,8,16,320,320,320,0,0.490578
1,8,5,20,16,4,2,320,320,320,0,0.935715
3,4,8,10,5,1,64,320,320,320,0,0.902616
1,8,2,20,40,1,8,320,320,320,0,0.901064
1,4,1,32,20,10,4,320,320,320,0,0.977781
0,2,8,8,2,25,16,320,320,320,0,0.98225
2,10,4,16,4,5,8,320,320,320,0,0.919019
2,40,2,4,4,2,40,320,320,320,0,0.901238
1,10,8,20,32,1,2,320,320,320,0,0.986093
1,4,4,8,20,20,2,320,320,320,0,0.909807
